GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
36053030700,140,36,053,45060,532,,,Census Tract 307,7235,3076,6783,2815,7235,6783,6416,6286,562,319,36,23,49,50,1,0,75,32,96,68
36065026700,140,36,065,46540,999,,,Census Tract 267,5440,3123,5819,3037,5440,5819,5314,5672,26,29,28,32,18,31,0,0,6,12,48,43
36067000100,140,36,067,45060,532,,,Census Tract 1,579,534,393,309,579,393,469,344,48,25,6,9,35,3,1,0,3,9,17,3
36067000501,140,36,067,45060,532,,,Census Tract 5.01,2358,1178,2381,1305,2358,2381,1174,1594,525,299,40,66,376,229,0,0,51,47,192,146
36067000600,140,36,067,45060,532,,,Census Tract 6,3534,1616,3160,1650,3534,3160,1773,2419,801,307,65,26,529,181,1,0,107,71,258,156
36067002300,140,36,067,45060,532,,,Census Tract 23,1736,1159,1976,1378,1736,1976,840,1197,475,436,19,20,267,180,0,2,32,20,103,121
36067002400,140,36,067,45060,532,,,Census Tract 24,2064,954,1760,961,2064,1760,1087,1138,541,419,50,60,171,19,0,0,71,24,144,100
36067003400,140,36,067,45060,532,,,Census Tract 34,1472,831,1900,1126,1472,1900,613,639,607,944,3,7,169,198,1,1,25,29,54,82
36067003602,140,36,067,45060,532,,,Census Tract 36.02,2184,1038,2120,1038,2184,2120,696,716,1281,1263,8,6,39,34,2,0,46,25,112,76
36067004200,140,36,067,45060,532,,,Census Tract 42,2065,914,1895,1043,2065,1895,220,171,1626,1587,10,4,4,3,0,0,68,85,137,45
36067004302,140,36,067,45060,532,,,Census Tract 43.02,6978,764,6609,828,6978,6609,5098,5102,560,749,33,13,934,447,3,10,158,159,192,126
36067004500,140,36,067,45060,532,,,Census Tract 45,4227,1735,4055,1748,4227,4055,3272,3158,414,551,21,28,329,152,1,3,48,42,142,121
36067004600,140,36,067,45060,532,,,Census Tract 46,5120,2178,6343,2123,5120,6343,3829,5112,924,877,27,17,120,111,0,4,50,65,170,157
36067004800,140,36,067,45060,532,,,Census Tract 48,1495,700,1598,691,1495,1598,1282,1470,132,81,9,3,8,7,1,0,30,12,33,25
36067005300,140,36,067,45060,532,,,Census Tract 53,1975,696,1947,826,1975,1947,264,221,1558,1613,6,9,5,6,2,0,44,41,96,57
36067005601,140,36,067,45060,532,,,Census Tract 56.01,1473,736,1527,729,1473,1527,1192,1292,162,141,7,11,51,50,0,0,6,1,55,32
36067010100,140,36,067,45060,532,,,Census Tract 101,2818,1203,2378,1006,2818,2378,2739,2316,21,3,13,16,17,18,1,1,7,0,20,24
36067010200,140,36,067,45060,532,,,Census Tract 102,5892,2484,4731,2002,5892,4731,5650,4614,61,34,28,18,42,13,0,0,14,10,97,42
36067010301,140,36,067,45060,532,,,Census Tract 103.01,5573,2415,5316,2154,5573,5316,5264,5096,120,72,18,15,66,52,6,1,26,8,73,72
36067010322,140,36,067,45060,532,,,Census Tract 103.22,4010,1420,3174,1106,4010,3174,3798,3058,78,31,6,9,68,26,0,0,16,6,44,44
36067010600,140,36,067,45060,532,,,Census Tract 106,2185,1036,2458,1024,2185,2458,2080,2364,40,29,4,14,17,8,0,0,29,11,15,32
36067011021,140,36,067,45060,532,,,Census Tract 110.21,2947,1094,3072,1065,2947,3072,2651,2832,149,134,5,6,76,59,1,3,4,4,61,34
36067011201,140,36,067,45060,532,,,Census Tract 112.01,3924,1650,4585,2034,3924,4585,3586,4273,159,130,19,38,27,53,0,0,12,21,121,70
36067011241,140,36,067,45060,532,,,Census Tract 112.41,2162,780,1968,638,2162,1968,1953,1830,68,74,12,16,76,16,0,0,2,3,51,29
36067011242,140,36,067,45060,532,,,Census Tract 112.42,6246,2247,5395,1846,6246,5395,5299,4857,468,267,38,38,227,93,4,0,59,39,151,101
36067011500,140,36,067,45060,532,,,Census Tract 115,5459,2036,4260,1461,5459,4260,5244,4153,51,23,10,9,43,28,0,0,15,15,96,32
36067012000,140,36,067,45060,532,,,Census Tract 120,5922,2558,6091,2513,5922,6091,5746,5951,13,23,25,25,19,28,1,0,48,16,70,48
