id,year,exclude,Film,Lead Studio,Rotten Tomatoes,Audience  score,Story,Genre,Number of Theatres in Opening Weekend (US),Box Office Average per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Proftitability,Opening Weekend,Oscar,Bafta,Source,Column
147,2011,,The Tree Of Life,Independant,84,61,Discovery,Drama,4,93230,13.3,41,54.3,32,169.70%,0.37,,,http://boxofficemojo.com/movies/?id=treeoflife.htm,
148,2011,,Midnight in Paris,Sony,93,84,Love,Romance,944,61777,56.18,83,139.18,17,818.69%,5.83,,,http://boxofficemojo.com/movies/?id=midnightinparis.htm,
149,2011,,The Descendants,20th Century Fox,89,88,Discovery,Drama,29,41038,24.54,?,24.54,20,122.71%,4.38,,,http://www.timryansreelhawaii.com/?p=2387,
150,2011,,Harry Potter and the Deathly Hallows Part 2,Warner Bros,96,92,Rivalry,Fantasy,4375,38672,381.01,947.1,1328.11,125,1062.49%,169.19,,,http://boxofficemojo.com/movies/?id=harrypotter72.htm,
151,2011,,Twilight: Breaking Dawn,Independant,26,68,Love,Romance,4061,34012,260.8,374,634.8,110,577.09%,138.12,,,http://boxofficemojo.com/movies/?id=breakingdawn.htm,
152,2011,,Transformers: Dark of the Moon,DreamWorks Pictures,35,67,Quest,Action,4088,23937,352.39,770.81,1123.2,195,576.00%,97.85,,,http://boxofficemojo.com/movies/?id=transformers3.htm,
153,2011,,The Hangover Part II,Legendary Pictures,35,58,Comedy,Comedy,3615,23775,254.46,327,581.46,80,726.83%,85.95,,,http://boxofficemojo.com/movies/?id=hangover2.htm,
154,2011,,Fast Five,Universal,78,83,Escape,Action,3644,23655,209.83,416.3,626.13,125,5.01,,,,,
155,2011,,"Pirates of the Caribbean:
On Stranger Tides",Disney,34,61,Quest,Action,4155,21697,241.07,802.8,1043.87,250,417.55%,90.15,,,http://boxofficemojo.com/movies/?id=piratesofthecaribbean4.htm,
156,2011,,Captain America: The First Avenger,Disney,78,75,Metamorphosis,Action,3715,17512,176.65,191.75,368.4,140,263.15%,65.06,,,http://boxofficemojo.com/movies/?id=captainamerica.htm,
157,2011,,Thor,Disney,77,80,Monster Force,Action,3955,16618,181.03,267.48,448.51,150,299.01%,65.72,,,http://boxofficemojo.com/movies/?id=thor.htm,
158,2011,,Cars 2,Pixar,38,56,Fish Out Of Water,Animation,4115,16072,191.45,360.4,551.85,200,275.93%,66.14,,,http://boxofficemojo.com/movies/?id=cars2.htm,
159,2011,,Paranormal Activity 3,Independant,68,58,Monster Force,Horror,3321,15829,103.66,98.24,201.9,5,4037.94%,52.57,,,http://boxofficemojo.com/movies/?id=paranormalactivity3.htm,
160,2011,,X-Men: First Class,Disney,87,88,Monster Force,Action,3641,15134,146.41,207.22,353.62,160,221.01%,55.1,,,http://boxofficemojo.com/movies/?id=xmenfirstclass.htm,
